"alt","null","LnLalt","LnLnull","DFalt","DFnull","DF","Dstatistic","pval","test","tail","AIC1","AIC2","AICwt1","AICwt2","AICweight_ratio_model1","AICweight_ratio_model2"
"DEC+J Unconstr.","DEC Unconstr.",-216.8,-227.6,3,2,1,21.62,3.3e-06,"chi-squared","one-tailed",439.6,459.2,1,5.5e-05,18241,5.5e-05
"DEC+J Eastbound","DEC Eastbound",-198.2,-208,3,2,1,19.6,9.5e-06,"chi-squared","one-tailed",402.5,420.1,1,2e-04,6634,2e-04
"DEC+J Westbound","DEC Westbound",-204.2,-215.3,3,2,1,22.23,2.4e-06,"chi-squared","one-tailed",414.4,434.6,1,4.1e-05,24662,4.1e-05
"DIVALIKE+J Unconstr.","DIVALIKE Unconstr.",-225.4,-233.6,3,2,1,16.47,5e-05,"chi-squared","one-tailed",456.8,471.3,1,7e-04,1384,7e-04
"DIVALIKE+J Eastbound","DIVALIKE Eastbound",-203.8,-210.5,3,2,1,13.25,3e-04,"chi-squared","one-tailed",413.7,424.9,1,0.0036,276.8,0.0036
"DIVALIKE+J Westbound","DIVALIKE Westbound",-207.3,-215.2,3,2,1,15.83,6.9e-05,"chi-squared","one-tailed",420.5,434.3,1,0.001,1007,0.001
"BAYAREALIKE+J Unconstr.","BAYAREALIKE Unconstr.",-225.7,-433.7,3,2,1,416,1.8e-92,"chi-squared","one-tailed",457.3,871.3,1,1.3e-90,7.98e+89,1.3e-90
"BAYAREALIKE+J Eastbound","BAYAREALIKE Eastbound",-206.3,-264.4,3,2,1,116.1,4.6e-27,"chi-squared","one-tailed",418.7,532.7,1,1.7e-25,5.92e+24,1.7e-25
"BAYAREALIKE+J Westbound","BAYAREALIKE Westbound",-208.7,-270.5,3,2,1,123.6,1e-28,"chi-squared","one-tailed",423.4,545,1,3.9e-27,2.56e+26,3.9e-27
