"PC","Percentage"
1,28.5783263285173
2,16.7324803353675
3,14.0069689773327
4,10.3949542894189
5,8.71995668452227
6,6.15754658157582
7,5.31394291783769
8,3.26288830705944
9,3.04254142797598
10,2.29898563850514
11,1.49140851188723
